inci_name,display_name,function,is_active,fa_trigger,comedogenic,fragrance,eu_allergen,alcohol_type,pregnancy_caution,product_count
bertholletia excelsa (brazil nut) seed oil,Bertholletia Excelsa (Brazil Nut) Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,10
hydrogenated olive oil,Hydrogenated Olive Oil,Emollient/Skin-conditioning agent,0,1,,0,0,,0,5
ethylene glycol distearate,Ethylene Glycol Distearate,Opacifier/pearlescent agent,0,1,,0,0,,0,11
butylene glycol cocoate,Butylene Glycol Cocoate,Emollient/skin-conditioning agent,0,1,,0,0,,0,10
oryza sativa bran oil,Oryza Sativa Bran Oil,Emollient / antioxidant,0,1,,0,0,,0,6
fragrance (parfum),Fragrance (Parfum),Sensory/masking agent,0,,,1,0,,0,22
isopropyl palmitate,Isopropyl Palmitate,Emollient / Thickener,0,1,4,0,0,,0,27
macadamia ternifolia seed oil,Macadamia Ternifolia Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,22
canola oil,Canola Oil,Emollient / skin-conditioning agent,0,1,,0,0,,0,8
galactomyces ferment filtrate,Galactomyces Ferment Filtrate,Antioxidant / brightening conditioning agent,1,1,,0,0,,0,8
chamomilla recutita flower oil,Chamomilla Recutita Flower Oil,Soothing/anti-inflammatory botanical extract,1,1,,0,0,,0,3
myristyl alcohol,Myristyl Alcohol,Emollient/emulsifier,0,0,,0,0,fatty,0,10
isopropyl isostearate,Isopropyl Isostearate,Emollient / skin-conditioning agent,0,1,,0,0,,0,16
sucrose laurate,Sucrose Laurate,Emulsifier/surfactant,0,1,,0,0,,0,6
sodium laurate,Sodium Laurate,Surfactant/cleansing agent,0,1,,0,0,,0,3
sodium oleate,Sodium Oleate,Surfactant/emulsifier,0,1,,0,0,,0,12
dipentaerythrityl hexacaprylate hexacaprate,Dipentaerythrityl Hexacaprylate/Hexacaprate,Emollient/Skin-conditioning,0,1,,0,0,,0,6
brassica campestris seed oil,Brassica Campestris Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,2
ethylhexyl stearate,Ethylhexyl Stearate,Emollient,0,1,,0,0,,0,15
elaeis guineensis oil,Elaeis Guineensis Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,9
peg 40 stearate,PEG-40 Stearate,Emulsifier / surfactant,0,1,,0,0,,0,16
rubus chamaemorus seed oil,Rubus Chamaemorus Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,3
sorbityl laurate,Sorbityl Laurate,Emulsifier / surfactant,0,1,,0,0,,0,2
polyglyceryl 6 behenate,Polyglyceryl-6 Behenate,Emulsifier / surfactant,0,1,,0,0,,0,9
bis behenyl isostearyl phytosteryl dimer dilinoleyl dimer dilinoleate,Bis Behenyl Isostearyl Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate,Emollient / skin-conditioning agent,0,1,,0,0,,0,0
psoralea corylifolia oil,Psoralea Corylifolia Oil,Antioxidant / active botanical,1,1,,0,0,,0,2
polyglyceryl 3 polydimethylsiloxyethyl dimethicone,Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone,Emulsifier,0,1,,0,0,,0,9
citrus aurantium bergamia leaf oil,Citrus Aurantium Bergamia Leaf Oil,Fragrance/aromatic,0,1,,0,0,,0,2
mangifera indica seed oil,Mangifera Indica Seed Oil,Emollient/moisturizer,0,1,,0,0,,0,3
glyceryl undecylenate,Glyceryl Undecylenate,Emollient / antimicrobial preservative-booster,0,1,,0,0,,0,7
citrus medica limonum peel oil,Citrus Medica Limonum Peel Oil,Fragrance/masking agent,0,1,,0,0,,0,2
glyceryl hydroxystearate,Glyceryl Hydroxystearate,Emollient/emulsifier,0,1,,0,0,,0,7
cymbopogon martini oil,Cymbopogon Martini Oil,Fragrance/essential oil,0,1,,0,0,,0,6
peg 35 castor oil,PEG-35 Castor Oil,Surfactant/solubilizer,0,1,,0,0,,0,5
cymbopogon citratus oil,Cymbopogon Citratus Oil,Fragrance/antimicrobial,0,1,,0,0,,0,2
ethylene glycol monostearate,Ethylene Glycol Monostearate,"Opacifier/pearlescent agent, emulsifier",0,1,,0,0,,0,3
lactobacillus pumpkin ferment extract,Lactobacillus/Pumpkin Ferment Extract,Exfoliant / antioxidant,1,1,,0,0,,0,5
glycine soja (soybean) oil,Glycine Soja (Soybean) Oil,Emollient / antioxidant,0,1,,0,0,,0,35
algae extract,Algae Extract,"Emollient/conditioning agent (humectant, antioxidant)",0,,5,0,0,,0,9
streptococcus thermophilus ferment,Streptococcus Thermophilus Ferment,Skin-conditioning / ceramide-boosting ferment,1,1,,0,0,,0,4
bacillus ferment,Bacillus Ferment,Exfoliant / skin-conditioning enzyme,1,1,,0,0,,0,3
echium plantagineum seed oil,Echium Plantagineum Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,2
helianthus annuus seed oil unsaponifiables,Helianthus Annuus Seed Oil Unsaponifiables,Emollient / skin-conditioning agent,0,1,,0,0,,0,2
butylene glycol dicaprylate dicaprate,Butylene Glycol Dicaprylate/Dicaprate,Emollient/skin-conditioning agent,0,1,,0,0,,0,10
anthemis nobilis flower oil,Anthemis Nobilis Flower Oil,Soothing / fragrance,0,1,,0,0,,0,14
hydrogenated coconut oil,Hydrogenated Coconut Oil,Emollient / skin-conditioning agent,0,1,,0,0,,0,4
isostearyl alcohol,Isostearyl Alcohol,Emollient/Co-emulsifier,0,,,0,0,drying,0,4
aluminum stearate,Aluminum Stearate,Emulsion stabilizer / viscosity-increasing agent,0,1,,0,0,,0,4
humulus lupulus oil,Humulus Lupulus Oil,Soothing/antimicrobial botanical extract,1,1,,0,0,,0,2
propylene glycol laurate,Propylene Glycol Laurate,Emollient/emulsifier,0,1,,0,0,,0,3
oryza sativa (rice) bran oil,Oryza Sativa (Rice) Bran Oil,Emollient / antioxidant,0,1,,0,0,,0,17
pichia resveratrol ferment extract,PICHIA/RESVERATROL FERMENT EXTRACT,Antioxidant / skin-conditioning,1,1,,0,0,,0,2
sucrose stearate,Sucrose Stearate,Emulsifier / surfactant,0,1,,0,0,,0,15
parfum fragrance,Parfum/Fragrance,Fragrance/masking agent,0,,,1,0,,0,50
sphingomonas ferment extract,Sphingomonas Ferment Extract,Hydrating/conditioning agent,1,1,,0,0,,0,7
salvia hispanica seed oil,Salvia Hispanica Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,3
hydroxycitronellal,Hydroxycitronellal,Fragrance ingredient,0,,,1,1,,0,38
isomerized linoleic acid,Isomerized Linoleic Acid,Skin-conditioning / emollient,0,1,,0,0,,0,3
ester of ethyl olivate,Ester of Ethyl Olivate,Emollient/skin-conditioning agent,0,1,,0,0,,0,2
retinyl retinoate,Retinyl Retinoate,Anti-aging retinoid,1,,,0,0,,1,4
retinaldehyde,Retinaldehyde,Retinoid (vitamin A derivative),1,,,0,0,,1,12
saccharomyces copper ferment,Saccharomyces/Copper Ferment,Skin-conditioning/trace-mineral delivery,1,1,,0,0,,0,1
isopropyl titanium triisostearate,Isopropyl Titanium Triisostearate,Surface treatment / coating agent,0,1,,0,0,,0,9
trigonella foenum graecum seed oil,Trigonella Foenum-Graecum Seed Oil,Emollient / conditioning oil,0,1,,0,0,,0,1
glyceryl sesquistearate,Glyceryl Sesquistearate,Emulsifier / emollient,0,1,,0,0,,0,3
borago officinalis seed oil,Borago Officinalis Seed Oil,Emollient / skin-conditioning oil,1,1,,0,0,,0,4
cetyl ricinoleate,Cetyl Ricinoleate,Emollient/Skin-conditioning agent,0,1,,0,0,,0,5
hydrogenated ethylhexyl olivate,Hydrogenated Ethylhexyl Olivate,Emollient / skin-conditioning agent,0,1,,0,0,,0,9
jojoba oil macadamia seed oil esters,Jojoba Oil/Macadamia Seed Oil Esters,Emollient,0,1,,0,0,,0,4
hydrogenated olive oil unsaponifiables,Hydrogenated Olive Oil Unsaponifiables,Emollient / skin-conditioning agent,0,1,,0,0,,0,14
cinnamomum camphora (camphor) bark oil,Cinnamomum Camphora (Camphor) Bark Oil,Fragrance/cooling agent,0,1,,0,0,,0,1
mentha viridis (spearmint) leaf oil,Mentha Viridis (Spearmint) Leaf Oil,Fragrance/flavoring agent,0,1,,0,0,,0,2
polyglyceryl 4 diisostearate polyhydroxystearate sebacate,Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate,Emulsifier (W/O),0,1,,0,0,,0,9
methylheptyl isostearate,Methylheptyl Isostearate,Emollient/skin-conditioning agent,0,1,,0,0,,0,1
dextrin palmitate,Dextrin Palmitate,Thickener / texture modifier,0,1,,0,0,,0,5
citrus aurantium dulcis (orange) oil,Citrus Aurantium Dulcis (Orange) Oil,Fragrance/essential oil,0,1,,0,0,,0,7
lauryl polyglyceryl 3 polydimethylsiloxyethyl dimethicone,Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone,Emulsifier / silicone-based surfactant,0,1,,0,0,,0,5
denatured ethyl alcohol,Denatured Ethyl Alcohol,Solvent / Astringent,0,,,0,0,drying,0,2
hydrogenated soy oil,Hydrogenated Soy Oil,Emollient / skin-conditioning agent,0,1,,0,0,,0,1
citrus aurantium dulcis fruit oil,Citrus Aurantium Dulcis Fruit Oil,Fragrance/skin-conditioning oil,0,1,,0,0,,0,1
oleth 3,Oleth-3,Emulsifier/surfactant,0,,5,0,0,,0,1
ferment (rice milk) extract,Ferment (Rice Milk) Extract,Brightening/conditioning ferment,1,1,,0,0,,0,1
white lily essential oil,White Lily Essential Oil,Fragrance/skin-conditioning agent,0,1,,1,0,,0,1
sodium cocoate,Sodium Cocoate,Surfactant/cleansing agent,0,1,,0,0,,0,5
lavandula angustifolia essential oil,Lavandula Angustifolia Essential Oil,Fragrance/aromatic agent,0,1,,1,0,,0,1
melaleuca alternifolia leaf essential oil,Melaleuca Alternifolia Leaf Essential Oil,Antimicrobial / antiseptic active,1,1,,1,0,,0,1
sodium olivate,Sodium Olivate,Cleansing surfactant / soap,0,1,,0,0,,0,1
isostearyl hydroxystearate,Isostearyl Hydroxystearate,Emollient/Skin-conditioning ester,0,1,,0,0,,0,3
olive oil glycereth 8 esters,Olive Oil Glycereth-8 Esters,Emollient / water-dispersible emollient,0,1,,0,0,,0,7
lauryl olivate,Lauryl Olivate,Emollient/Skin-conditioning agent,0,1,,0,0,,0,1
ferula galbaniflua resin oil,Ferula Galbaniflua Resin Oil,Fragrance/essential oil,0,1,,0,0,,0,2
lavandula hybrida oil,Lavandula Hybrida Oil,Fragrance/essential oil,0,1,,0,0,,0,6
mentha piperita oil water,Mentha Piperita Oil Water,Fragrance/refreshing agent,0,1,,0,0,,0,1
peg ppg 8 3 diisostearate,PEG/PPG-8/3 Diisostearate,Emulsifier/emollient,0,1,,0,0,,0,3
rosemary oil,Rosemary Oil,Antioxidant / fragrance,0,1,,0,0,,0,3
essential oils blend,Essential Oils Blend,Fragrance/botanical additive,0,,,1,0,,0,1
citrus limon oil,Citrus Limon Oil,Fragrance / antimicrobial,0,1,,0,0,,0,1
essential oils,essential oils,Fragrance/botanical additive,0,,,1,0,,0,5
peg 200 hydrogenated glyceryl palmate,PEG-200 Hydrogenated Glyceryl Palmate,Emollient/emulsifier,0,1,,0,0,,0,4
leptospermum petersonii oil,Leptospermum Petersonii Oil,Fragrance/antimicrobial,0,1,,0,0,,0,4
polyglyceryl 3 cocoate,Polyglyceryl-3 Cocoate,Emulsifier / surfactant,0,1,,0,0,,0,1
fusanus spicatus wood oil,Fusanus Spicatus Wood Oil,Fragrance/aromatic oil,0,1,,0,0,,0,1
cymbopogon citratus leaf oil,Cymbopogon Citratus Leaf Oil,Fragrance/antimicrobial,0,1,,0,0,,0,4
triticum vulgare (wheatgerm) oil,Triticum Vulgare (Wheatgerm) Oil,Emollient / antioxidant,0,1,,0,0,,0,1
prunus amygdalus oil,Prunus Amygdalus Oil,Emollient,0,1,,0,0,,0,1
borage seed oil,Borage Seed Oil,Emollient / GLA-rich skin conditioning oil,1,1,,0,0,,0,1
cetearyl stearate,Cetearyl Stearate,Emollient/Co-emulsifier,0,1,,0,0,,0,1
cocos nucifera fruit oil,Cocos Nucifera Fruit Oil,Emollient / occlusive,0,1,,0,0,,0,1
peg ppg 8 3 laurate,PEG/PPG-8/3 Laurate,Emulsifier/Surfactant,0,1,,0,0,,0,1
eugenia caryophyllus (clove) leaf oil,Eugenia Caryophyllus (Clove) Leaf Oil,Fragrance/antimicrobial,0,1,,0,0,,0,1
cymbopogon schoenanthus oil,Cymbopogon Schoenanthus Oil,Fragrance / antimicrobial,0,1,,0,0,,0,3
eugenia caryophyllus (clove) bud oil,Eugenia Caryophyllus (Clove) Bud Oil,Fragrance/antimicrobial,0,1,,0,0,,0,1
cupressus sempervirens leaf oil,Cupressus Sempervirens Leaf Oil,Fragrance/essential oil,0,1,,0,0,,0,1
phytosteryl isostearyl cetyl stearyl behenyl dimer dilinoleate,Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate,Emollient/skin-conditioning agent,0,1,,0,0,,0,6
dipentaerythrityl hexahydroxystearate hexastearate hexarosinate,Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate,Emollient/skin-conditioning agent,0,1,,0,0,,0,1
citrus aurantifolia (lime) oil,Citrus Aurantifolia (Lime) Oil,Fragrance/essential oil,0,1,,0,0,,0,7
aniba rosaeodora wood oil,Aniba Rosaeodora Wood Oil,Fragrance/essential oil,0,1,,0,0,,0,2
citrus limon seed oil,Citrus Limon Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,1
aniba rosodora wood oil,Aniba Rosodora Wood Oil,Fragrance/aromatic,0,1,,0,0,,0,2
polyglyceryl 10 myristate,Polyglyceryl-10 Myristate,Emulsifier / surfactant,0,1,,0,0,,0,18
polyglyceryl 4 laurate,Polyglyceryl-4 Laurate,Emulsifier/surfactant,0,1,,0,0,,0,3
glycereth 25 pca isostearate,Glycereth-25 Pca Isostearate,Emollient/emulsifier,0,1,,0,0,,0,6
morinda citrifolia seed oil,Morinda Citrifolia Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,2
cymbopogon nardus (citronella) oil,Cymbopogon Nardus (Citronella) Oil,Fragrance / masking agent,0,1,,0,0,,0,2
peg 2 stearate,PEG-2 Stearate,Emulsifier/surfactant,0,1,,0,0,,0,1
monascus rice ferment,Monascus/Rice Ferment,Conditioning/antioxidant ferment,1,1,,0,0,,0,3
cocoa caprylate caprate,Cocoa-Caprylate/Caprate,Emollient / skin-conditioning agent,0,1,,0,0,,0,1
polyglyceryl 4 laurate succinate,Polyglyceryl-4 Laurate/Succinate,Emulsifier,0,1,,0,0,,0,1
maleated soybean oil glyceryl octyldodecanol esters,Maleated Soybean Oil Glyceryl/Octyldodecanol Esters,Emollient/skin-conditioning agent,0,1,,0,0,,0,1
polyglyceryl 6 polyricinoleate,Polyglyceryl-6 Polyricinoleate,Emulsifier,0,1,,0,0,,0,5
dipentaerythrityl tri polyhydroxystearate,Dipentaerythrityl Tri-Polyhydroxystearate,Emollient/skin-conditioning agent,0,1,,0,0,,0,3
peg 8 laurate,PEG-8 Laurate,Emulsifier / surfactant,0,1,,0,0,,0,2
glyceryl isostearate,Glyceryl Isostearate,Emollient/emulsifier,0,1,,0,0,,0,2
rosa indica oil,Rosa Indica Oil,Fragrance/emollient,0,1,,0,0,,0,1
citrus nobilis peel oil,Citrus Nobilis Peel Oil,Fragrance/essential oil,0,1,,0,0,,0,2
litsea cubeba fruit oil,Litsea Cubeba Fruit Oil,Fragrance/antimicrobial,0,1,,0,0,,0,5
plukenetia volubilis seed oil,Plukenetia Volubilis Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,1
lauryl alcohol,Lauryl Alcohol,Emollient / emulsifier,0,0,,0,0,fatty,0,5
matricaria recutita flower oil,Matricaria Recutita Flower Oil,Soothing/anti-inflammatory botanical,1,1,,0,0,,0,1
sucrose polycottonseedate,Sucrose Polycottonseedate,Emollient/skin-conditioning ester,0,1,,0,0,,0,1
grapefruit oil,Grapefruit Oil,Fragrance/aromatic agent,0,1,,0,0,,0,1
isocetyl stearate,ISOCETYL STEARATE,Emollient / skin-conditioning agent,0,1,,0,0,,0,2
sucrose trilaurate,Sucrose Trilaurate,Emulsifier,0,1,,0,0,,0,1
pelargonium graveolens essential oil,Pelargonium Graveolens Essential Oil,Fragrance/essential oil,0,1,,1,0,,0,1
citrus grandis (grapefruit) peel oil,Citrus Grandis (Grapefruit) Peel Oil,Fragrance/essential oil,0,1,,0,0,,0,3
melaleuca alternifolia (teatree) leaf oil,Melaleuca Alternifolia (Teatree) Leaf Oil,Antimicrobial/antiseptic,1,1,,0,0,,0,1
citrus medica limonum (lemon) peel oil,Citrus Medica Limonum (Lemon) Peel Oil,Fragrance/essential oil,0,1,,0,0,,0,3
myreth 3 myristate,Myreth-3 Myristate,Emollient/skin-conditioning agent,0,1,,0,0,,0,2
santalum album seed oil,Santalum Album Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,1
carum petroselinum seed oil,Carum Petroselinum Seed Oil,Fragrance/antioxidant,0,1,,0,0,,0,1
pogostemon cablin oil,Pogostemon Cablin Oil,Fragrance/essential oil,0,1,,0,0,,0,5
artemisia vulgaris oil,Artemisia Vulgaris Oil,Soothing/fragrance botanical,0,1,,0,0,,0,4
potassium myristate,Potassium Myristate,Surfactant/cleansing agent,0,1,,0,0,,0,3
potassium behenate,Potassium Behenate,Emulsifier/Surfactant,0,1,,0,0,,0,2
potassium stearate,Potassium Stearate,Emulsifier / surfactant (cleansing agent),0,1,,0,0,,0,2
potassium palmitate,Potassium Palmitate,Surfactant/cleansing agent,0,1,,0,0,,0,2
potassium laurate,Potassium Laurate,Surfactant/cleansing agent,0,1,,0,0,,0,2
peg 3 distearate,PEG-3 Distearate,Emulsifier/thickener,0,1,,0,0,,0,2
cholesteryl hydroxystearate,Cholesteryl Hydroxystearate,Emollient / skin-conditioning agent,0,1,,0,0,,0,2
alteromonas ferment extract,Alteromonas Ferment Extract,Hydrating/soothing biotechnological active,1,1,,0,0,,0,1
disodium 2 sulfolaurate,Disodium 2-Sulfolaurate,Surfactant/cleansing agent,0,1,,0,0,,0,3
sodium methyl 2 sulfolaurate,Sodium Methyl 2-Sulfolaurate,Surfactant/cleansing agent,0,1,,0,0,,0,3
polyglyceryl 6 oleate,Polyglyceryl-6 Oleate,Emulsifier / surfactant,0,1,,0,0,,0,8
bifida ferment filtrate,Bifida Ferment Filtrate,Skin-conditioning / probiotic-derived active,1,1,,0,0,,0,4
lactobacillus acerola cherry ferment,Lactobacillus/Acerola Cherry Ferment,Antioxidant / skin-conditioning (probiotic ferment),1,1,,0,0,,0,1
camellia japonica seed oil,Camellia Japonica Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,7
allium cepa bulb oil,Allium Cepa Bulb Oil,Skin conditioning / scar treatment,1,1,,0,0,,0,3
sodium stearate,Sodium Stearate,Emulsifier/Surfactant,0,1,,0,0,,0,3
camellia sinensis seed oil,Camellia Sinensis Seed Oil,Emollient / antioxidant,0,1,,0,0,,0,2
candida bombicola glucose methyl rapeseedate ferment,Candida Bombicola/Glucose/Methyl Rapeseedate Ferment,Surfactant/Emulsifier,0,1,,0,0,,0,1
yeast ferment extract,Yeast Ferment Extract,Conditioning/soothing active,1,1,,0,0,,0,2
brassica oleracea seed oil,Brassica Oleracea Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,1
ethanol,Ethanol,Solvent/antimicrobial,0,,,0,0,drying,0,5
moringa oil,Moringa Oil,Emollient/antioxidant oil,0,1,,0,0,,0,2
solanum lycopersicum seed oil,Solanum lycopersicum seed oil,Emollient / antioxidant,0,1,,0,0,,0,1
aleurites moluccana seed oil,Aleurites Moluccana Seed Oil,Emollient/skin-conditioning oil,0,1,,0,0,,0,1
coriandrum sativum seed oil,Coriandrum Sativum Seed Oil,Emollient / fragrance,0,1,,0,0,,0,3
myristyl laurate,Myristyl Laurate,Emollient / thickener,0,1,,0,0,,0,1
propylene glycol stearate,Propylene Glycol Stearate,Emulsifier/emollient,0,1,,0,0,,0,1
lilium polyphyllum (white lily) flower oil,Lilium Polyphyllum (White Lily) Flower Oil,Emollient / fragrance,0,1,,0,0,,0,1
pogostemon cablin leaf oil,Pogostemon Cablin Leaf Oil,Fragrance/essential oil,0,1,,0,0,,0,3
sd alcohol 40 b (alcohol denat.),Sd Alcohol 40-B (Alcohol Denat.),Solvent / penetration enhancer / astringent,0,,,0,0,drying,0,1
peg 8 stearate,PEG-8 Stearate,Emulsifier / surfactant,0,1,,0,0,,0,2
polyglyceryl 2 caprate,Polyglyceryl-2 Caprate,Emulsifier / surfactant,0,1,,0,0,,0,5
lanolin alcohol,Lanolin Alcohol,Emollient/emulsifier,0,,,0,0,drying,0,2
polysorbate 85,Polysorbate 85,Emulsifier / surfactant,0,1,,0,0,,0,2
polyglyceryl 6 distearate,Polyglyceryl-6 Distearate,Emulsifier,0,1,,0,0,,0,7
aroma,Aroma,Fragrance,0,,,1,0,,0,8
peg 4 dilaurate,PEG-4 Dilaurate,Emulsifier/emollient,0,1,,0,0,,0,8
peg 4 laurate,PEG-4 Laurate,Emulsifier/surfactant,0,1,,0,0,,0,9
sorbitan palmitate,Sorbitan Palmitate,Emulsifier,0,1,,0,0,,0,3
fragrance parfum,Fragrance / Parfum,Fragrance/sensory additive,0,,,1,0,,0,12
ethyl oleate,Ethyl Oleate,Emollient / penetration enhancer,0,1,,0,0,,0,7
butyrospermum parkii oil,Butyrospermum Parkii Oil,Emollient / skin-conditioning,0,1,,0,0,,0,3
ethyl linoleate,Ethyl Linoleate,Emollient / skin-conditioning agent,1,1,,0,0,,0,5
ethyl palmitate,Ethyl Palmitate,Emollient / skin-conditioning agent,0,1,,0,0,,0,3
ethyl stearate,Ethyl Stearate,Emollient/Skin-conditioning,0,1,,0,0,,0,3
citrus nobilis oil,Citrus Nobilis Oil,Fragrance/essential oil,0,1,,0,0,,0,1
olive oil polyglyceryl 6 esters,Olive Oil Polyglyceryl-6 Esters,Emulsifier / emollient,0,1,,0,0,,0,3
adansonia digitata seed oil,Adansonia Digitata Seed Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,2
ceto cetyl alcohol,Ceto Cetyl Alcohol,Emollient / emulsifier,0,0,,0,0,fatty,0,6
carapa guianensis seed oil,Carapa Guianensis Seed Oil,Emollient/skin-conditioning oil,0,1,,0,0,,0,1
polyglyceryl 3 distearate,Polyglyceryl-3 Distearate,Emulsifier,0,1,,0,0,,0,10
retinyl linoleate,Retinyl Linoleate,Vitamin A derivative (retinoid ester),1,1,,0,0,,1,3
ethylhexyl cocoate,Ethylhexyl Cocoate,Emollient/skin-conditioning ester,0,1,,0,0,,0,5
aluminum magnesium hydroxide stearate,Aluminum/Magnesium Hydroxide Stearate,Viscosity controlling / thickening agent,0,1,,0,0,,0,4
jasminum officinale (jasmine) oil,Jasminum Officinale (Jasmine) Oil,Fragrance/aromatic agent,0,1,,0,0,,0,5
retinyl propionate,Retinyl Propionate,Retinoid (anti-aging active),1,,,0,0,,1,10
aniba rosodora (rosewood) wood oil,Aniba Rosodora (Rosewood) Wood Oil,Fragrance/essential oil,0,1,,0,0,,0,1
retinyl sunflowerseedate,Retinyl Sunflowerseedate,Antioxidant / Vitamin A derivative (retinoid ester),1,,,0,0,,1,2
abies sibirica oil,Abies Sibirica Oil,Fragrance/essential oil,0,1,,0,0,,0,1
juniperus virginiana oil,Juniperus Virginiana Oil,Fragrance/Aromatic,0,1,,0,0,,0,4
glyceryl linoleate,Glyceryl Linoleate,Emollient / skin-conditioning agent,0,1,,0,0,,0,4
caryodendron orinocense nut oil,Caryodendron Orinocense Nut Oil,Emollient / skin-conditioning oil,0,1,,0,0,,0,1
glyceryl polymethacrylate,Glyceryl Polymethacrylate,Film former / humectant,0,1,,0,0,,0,13
no mineral oil,No Mineral Oil,Marketing/formulation claim (absence of mineral oil),0,1,,0,0,,0,21
"option_display_name:""salicylic acid""","Option_Display_Name:""Salicylic Acid""",Beta-hydroxy acid exfoliant / keratolytic,1,,,0,0,,1,0
"option_display_value:""salicylic acid""","Option_Display_Value:""Salicylic Acid""",Beta hydroxy acid (BHA) exfoliant/keratolytic,1,,,0,0,,1,0
"{ title:""fragrance""","{ Title:""Fragrance""",Scent/sensory additive,0,,,1,0,,0,0
"base_name:""dermdoc 2% salicylic acid face serum""","Base_Name:""Dermdoc 2% Salicylic Acid Face Serum""",BHA exfoliant,1,,,0,0,,1,0
"option_display_name:""2% salicylic acid""","Option_Display_Name:""2% Salicylic Acid""",Beta-hydroxy acid exfoliant / keratolytic,1,,,0,0,,1,0
cetearyl olivate (and) sorbitan olivate,Cetearyl Olivate (And) Sorbitan Olivate,Emulsifier,0,1,,0,0,,0,9
"oil no animal testing (120 ml)""","Oil No Animal Testing (120 Ml)""",Emollient / occlusive base oil,0,1,,0,0,,0,0
"base_name:""dermdoc 2% salicylic acid face toner""","Base_Name:""Dermdoc 2% Salicylic Acid Face Toner""",BHA exfoliant / toner,1,,,0,0,,1,0
"l3_category_name:""hair oil""","L3_Category_Name:""Hair Oil""",Conditioning/emollient hair treatment,0,1,,0,0,,0,0
glyceryl stearate (and) peg 100 stearate,Glyceryl Stearate (And) Peg-100 Stearate,Emulsifier,0,1,,0,0,,0,11
sorbitan stearate (and) sucrose cocoate,Sorbitan Stearate (and) Sucrose Cocoate,Emulsifier,0,1,,0,0,,0,8
""" collections hair oil""",""" Collections Hair Oil""",Invalid input / not an ingredient,0,1,,0,0,,0,0
it absorbs excess oil,it absorbs excess oil,Oil-absorbing / mattifying agent,0,1,,0,0,,0,3
parfum (fragrance),Parfum (Fragrance),Fragrance/masking agent,0,,,1,0,,0,39
mineral oil free,Mineral Oil Free,Marketing/formulation descriptor,0,1,,0,0,,0,5
"base_name:""alps goodness fermented rice water""","Base_Name:""Alps Goodness Fermented Rice Water""",Brightening/conditioning humectant,1,1,,0,0,,0,0
"no mineral oil""","No Mineral Oil""",Marketing/formulation claim (absence),0,1,,0,0,,0,0
"no mineral oil (15 ml)""","No Mineral Oil (15 Ml)""",Emollient/occlusive base,0,1,,0,0,,0,0
"no mineral oil (50 gm)""","No Mineral Oil (50 Gm)""",Emollient base / occlusive,0,1,,0,0,,0,0
"no mineral oil (120 ml)""","No Mineral Oil (120 Ml)""",Occlusive/emollient base ingredient,0,1,,0,0,,0,0
polyglyceryl 3 dicitrate stearate,Polyglyceryl-3 Dicitrate/ Stearate,Emulsifier,0,1,,0,0,,0,3
octyldodecyl myristate,Octyldodecyl Myristate,Emollient / skin-conditioning agent,0,1,,0,0,,0,8
and sucrose cocoate,And Sucrose Cocoate,Emollient/surfactant,0,1,,0,0,,0,0
sunflower seed oil,Sunflower Seed Oil,Emollient / skin-conditioning agent,0,1,,0,0,,0,5
"""condition"":""subcategory_face oil""}","""Condition"":""Subcategory_Face Oil""}",Emollient/occlusive base,0,1,,0,0,,0,0
sunflower oil,Sunflower Oil,Emollient / occlusive,0,1,0,0,0,,0,6
oil control,Oil Control,Sebum regulation,1,1,,0,0,,0,0
"base_name:""plum green tea oil free moisturizer""","Base_Name:""Plum Green Tea Oil Free Moisturizer""",Oil-free facial moisturizer,0,1,,0,0,,0,0
"option_display_name:""argan oil & lavender""","Option_Display_Name:""Argan Oil & Lavender""",Emollient blend (moisturizing/conditioning),0,1,,0,0,,0,0
"slug:""alps goodness rosemary champi oil 105ml 14""","Slug:""Alps Goodness Rosemary Champi Oil 105Ml 14""",Hair oil / scalp conditioner,1,1,,0,0,,0,0
"option_display_name:""rosemary hair oil""","Option_Display_Name:""Rosemary Hair Oil""",Hair/scalp conditioning oil,1,1,,0,0,,0,0
